Comment,Designator,Footprint,LCSC Part #
4.7uF 6.3V,C1,Capacitor_SMD:C_0402_1005Metric,C23733
4.7uF 6.3V,C2,Capacitor_SMD:C_0402_1005Metric,C23733
4.7uF 6.3V,C3,Capacitor_SMD:C_0402_1005Metric,C23733
4.7uF 6.3V,C4,Capacitor_SMD:C_0402_1005Metric,C23733
4.7uF 6.3V,C7,Capacitor_SMD:C_0402_1005Metric,C23733
4.7uF 6.3V,C10,Capacitor_SMD:C_0402_1005Metric,C23733
4.7uF 6.3V,C11,Capacitor_SMD:C_0402_1005Metric,C23733
0.1uF 6.3V,C5,Capacitor_SMD:C_0402_1005Metric,C1525
0.1uF 6.3V,C6,Capacitor_SMD:C_0402_1005Metric,C1525
0.1uF 6.3V,C8,Capacitor_SMD:C_0402_1005Metric,C1525
0.1uF 6.3V,C9,Capacitor_SMD:C_0402_1005Metric,C1525
47uF 10V,C12,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,C503930
ESD5Z5.0T1G,D4,Diode_SMD:D_SOD-523,C2879719
ESD5Z5.0T1G,D5,Diode_SMD:D_SOD-523,C2879719
ESD5Z5.0T1G,D6,Diode_SMD:D_SOD-523,C2879719
"PMEG2010ER,115",D7,Diode_SMD:D_SOD-323,C82288
"PMEG2010ER,115",D8,Diode_SMD:D_SOD-323,C82288
USB-C 16P,J2,LocalOverrides:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2894897
BTN_JST,J_BTN1,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,C265452
LED_JST,J_LED1,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,C265452
PWR_SW_JST,J_PWR1,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C265016
SD_JST,J_SD1,Connector_JST:JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,C157917
SIO_IDC,J_SIO1,LocalOverrides:IDC-Header_2x06_P2.54mm_Latch_Horizontal,
UMH3NTN,Q1,Package_TO_SOT_SMD:SOT-363_SC-70-6,C123008
DMP2035U-7,Q2,Package_TO_SOT_SMD:SOT-23,C110499
DMG2302U,Q3,Package_TO_SOT_SMD:SOT-23,C96613
10K,R1,Resistor_SMD:R_0402_1005Metric,C25744
10K,R2,Resistor_SMD:R_0402_1005Metric,C25744
10K,R3,Resistor_SMD:R_0402_1005Metric,C25744
10K,R5,Resistor_SMD:R_0402_1005Metric,C25744
10K,R6,Resistor_SMD:R_0402_1005Metric,C25744
10K,R8,Resistor_SMD:R_0402_1005Metric,C25744
10K,R12,Resistor_SMD:R_0402_1005Metric,C25744
10K,R17,Resistor_SMD:R_0402_1005Metric,C25744
10K,R18,Resistor_SMD:R_0402_1005Metric,C25744
10K,R19,Resistor_SMD:R_0402_1005Metric,C25744
10K,R20,Resistor_SMD:R_0402_1005Metric,C25744
10K,R22,Resistor_SMD:R_0402_1005Metric,C25744
10K,R23,Resistor_SMD:R_0402_1005Metric,C25744
10K,R27,Resistor_SMD:R_0402_1005Metric,C25744
10K,R28,Resistor_SMD:R_0402_1005Metric,C25744
1.2k,R4,Resistor_SMD:R_0402_1005Metric,C25862
1.2k,R15,Resistor_SMD:R_0402_1005Metric,C25862
2k,R7,Resistor_SMD:R_0402_1005Metric,C413086
47.5K,R9,Resistor_SMD:R_0402_1005Metric,C25896
1k,R10,Resistor_SMD:R_0402_1005Metric,C11702
2.7k,R13,Resistor_SMD:R_0402_1005Metric,C413089
1k,R14,Resistor_SMD:R_0402_1005Metric,C11702
1k,R21,Resistor_SMD:R_0402_1005Metric,C11702
22.1K,R11,Resistor_SMD:R_0402_1005Metric,C163478
4.7K,R16,Resistor_SMD:R_0402_1005Metric,C413001
2K,R24,Resistor_SMD:R_0402_1005Metric,C413086
5.1K,R25,Resistor_SMD:R_0402_1005Metric,C25905
5.1K,R26,Resistor_SMD:R_0402_1005Metric,C25905
DM3D-SF,SD1,Connector_Card:microSD_HC_Hirose_DM3D-SF,C719027
ESP32-WROVER-IE-N16R8,U1,Espressif:ESP32-WROVER-E,C701352
CP2102N-A02-GQFN24R,U2,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151
74LS07DR,U3,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C371970
74LS07DR,U4,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C371970
XC6220B331MR,U5,Package_TO_SOT_SMD:SOT-23-5,C3040644
