Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF 6.3V","C_0402_1005Metric",31.480000,-30.500000,0.000000,top
"C2","4.7uF 6.3V","C_0402_1005Metric",59.530000,-58.520000,-90.000000,top
"C3","4.7uF 6.3V","C_0402_1005Metric",65.500000,-49.000000,-90.000000,top
"C4","4.7uF 6.3V","C_0402_1005Metric",56.530000,-58.520000,-90.000000,top
"C5","0.1uF 6.3V","C_0402_1005Metric",26.020000,-71.500000,0.000000,top
"C6","0.1uF 6.3V","C_0402_1005Metric",41.500000,-63.020000,-90.000000,top
"C7","4.7uF 6.3V","C_0402_1005Metric",36.000000,-51.500000,0.000000,top
"C8","0.1uF 6.3V","C_0402_1005Metric",52.000000,-63.000000,-90.000000,top
"C9","0.1uF 6.3V","C_0402_1005Metric",48.500000,-63.020000,-90.000000,top
"C10","4.7uF 6.3V","C_0402_1005Metric",45.000000,-63.000000,-90.000000,top
"C11","4.7uF 6.3V","C_0402_1005Metric",27.000000,-74.520000,-90.000000,top
"C12","47uF 10V","CP_EIA-7343-31_Kemet-D",68.000000,-59.000000,-90.000000,top
"D4","ESD5Z5.0T1G","D_SOD-523",63.000000,-56.000000,0.000000,top
"D5","ESD5Z5.0T1G","D_SOD-523",73.000000,-66.000000,0.000000,top
"D6","ESD5Z5.0T1G","D_SOD-523",37.800000,-32.000000,180.000000,top
"D7","PMEG2010ER,115","D_SOD-323",37.500000,-59.050000,-90.000000,top
"D8","PMEG2010ER,115","D_SOD-323",42.000000,-58.950000,90.000000,top
"J2","USB-C 16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",80.425000,-68.000000,90.000000,top
"J_BTN1","BTN_JST","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",60.000000,-73.550000,0.000000,top
"J_LED1","LED_JST","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",47.500000,-73.550000,0.000000,top
"J_PWR1","PWR_SW_JST","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",38.500000,-73.550000,0.000000,top
"J_SD1","SD_JST","JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal",26.500000,-34.000000,-90.000000,top
"J_SIO1","SIO_IDC","IDC-Header_2x06_P2.54mm_Latch_Horizontal",72.872500,-37.300000,0.000000,top
"Q1","UMH3NTN","SOT-363_SC-70-6",31.000000,-40.500000,-90.000000,top
"Q2","DMP2035U-7","SOT-23",46.562500,-59.000000,0.000000,top
"Q3","DMG2302U","SOT-23",52.062500,-58.950000,0.000000,top
"R1","10k","R_0402_1005Metric",30.500000,-45.500000,0.000000,top
"R2","10k","R_0402_1005Metric",31.510000,-33.500000,0.000000,top
"R3","10k","R_0402_1005Metric",30.500000,-48.500000,0.000000,top
"R4","1.2k","R_0402_1005Metric",30.510000,-51.500000,0.000000,top
"R5","10K","R_0402_1005Metric",55.500000,-63.000000,-90.000000,top
"R6","10k","R_0402_1005Metric",31.490000,-36.500000,0.000000,top
"R7","2k","R_0402_1005Metric",36.020000,-48.500000,0.000000,top
"R8","10K","R_0402_1005Metric",62.500000,-49.000000,-90.000000,top
"R9","47.5K","R_0402_1005Metric",34.510000,-32.000000,0.000000,top
"R10","1k","R_0402_1005Metric",29.490000,-71.500000,180.000000,top
"R11","22.1K","R_0402_1005Metric",32.990000,-71.500000,0.000000,top
"R12","10k","R_0402_1005Metric",36.020000,-45.500000,0.000000,top
"R13","1k","R_0402_1005Metric",49.510000,-67.000000,0.000000,top
"R14","1k","R_0402_1005Metric",46.010000,-67.000000,0.000000,top
"R15","1.2k","R_0402_1005Metric",53.510000,-67.000000,0.000000,top
"R16","4.7K","R_0402_1005Metric",66.990000,-51.500000,180.000000,top
"R17","10K","R_0402_1005Metric",22.990000,-71.500000,0.000000,top
"R18","10K","R_0402_1005Metric",59.980000,-66.500000,-90.000000,top
"R19","10K","R_0402_1005Metric",56.486300,-66.500000,-90.000000,top
"R20","10K","R_0402_1005Metric",59.000000,-63.000000,-90.000000,top
"R21","1k","R_0402_1005Metric",63.500000,-62.990000,90.000000,top
"R22","10k","R_0402_1005Metric",41.500000,-66.500000,-90.000000,top
"R23","10K","R_0402_1005Metric",30.500000,-74.510000,-90.000000,top
"R24","2K","R_0402_1005Metric",63.000000,-51.500000,180.000000,top
"R25","5.1K","R_0402_1005Metric",69.510000,-66.500000,0.000000,top
"R26","5.1K","R_0402_1005Metric",69.490000,-70.000000,180.000000,top
"R27","10K","R_0402_1005Metric",26.010000,-51.500000,0.000000,top
"R28","10K","R_0402_1005Metric",22.490000,-51.500000,0.000000,top
"SD1","DM3D-SF","microSD_HC_Hirose_DM3D-SF",26.225000,-60.875000,-90.000000,top
"U1","ESP32-WROVER-IE-N16R8","ESP32-WROVER-E",50.250000,-38.255000,0.000000,top
"U2","CP2102N-A02-GQFN24R","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",36.562500,-37.750000,0.000000,top
"U3","74LS07DR","SOIC-14_3.9x8.7mm_P1.27mm",65.475000,-31.690000,0.000000,top
"U4","74LS07DR","SOIC-14_3.9x8.7mm_P1.27mm",65.475000,-42.690000,0.000000,top
"U5","XC6220B331MR","SOT-23-5",65.137500,-67.500000,0.000000,top
