Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package / Footprint,Type,LCSC Part # (reference)
1,C1 C2 C3 C4 C7 C10 C11,7,Samsung,CL05A475MP5NRNC,4.7uF 10V X5R MLCC (6.3V min),0402,SMD,C23733
2,C5 C6 C8 C9,4,Samsung,CL05B104KO5NNNC,0.1uF 16V X7R MLCC (6.3V min),0402,SMD,C1525
3,C12,1,TORCH,CA45-D-16V-47uF-K,47uF 16V tantalum (10V min),EIA-7343-31 (case D),SMD,C503930
4,D4 D5 D6,3,CBI,DESD5Z5.0,ESD protection diode 5V,SOD-523,SMD,C2879719
5,D7 D8,2,Nexperia,"PMEG2010BEA,115",Schottky 20V 1A,SOD-323,SMD,C455041
6,J2,1,HCTL,HC-TYPE-C-16P-01A,USB-C receptacle 16P,SMD,SMD,C2894897
7,J_BTN1 J_LED1,2,JST,S4B-PH-K(LF)(SN),JST PH 4-pin side entry,2.00mm 1x04 horizontal,THT,C265452
8,J_PWR1,1,JST,S2B-PH-K(LF)(SN),JST PH 2-pin side entry,2.00mm 1x02 horizontal,THT,C265016
9,J_SD1,1,JST,S7B-PH-K-S(LF)(SN),JST PH 7-pin side entry,2.00mm 1x07 horizontal,THT,C157917
10,J_SIO1,1,BOOMELE,2.54-2*6P,2x6 12-pin 2.54mm straight (vertical) shrouded IDC box header,2.54mm 2x06 vertical,THT,C9136
11,Q1,1,ROHM,UMH3NTN,Dual digital transistor,SOT-363,SMD,C123008
12,Q2,1,Diodes Inc,DMP2035U-7,P-MOSFET,SOT-23,SMD,C110499
13,Q3,1,Diodes Inc,DMG2302U-7,N-MOSFET,SOT-23,SMD,C96613
14,R1 R2 R3 R5 R6 R8 R12 R15 R17 R18 R19 R20 R22 R23 R27 R28,16,UNI-ROYAL,0402WGF1002TCE,10k 1%,0402,SMD,C25744
15,R4,1,UNI-ROYAL,0402WGF1201TCE,1.2k 1%,0402,SMD,C25862
16,R7 R24,2,Panasonic,ERJ2RKF2001X,2k 1%,0402,SMD,C413086
17,R9,1,UNI-ROYAL,0402WGF4752TCE,47.5k 1%,0402,SMD,C25896
18,R10 R21,2,UNI-ROYAL,0402WGF1001TCE,1k 1%,0402,SMD,C11702
19,R11,1,YAGEO,RC0402FR-0722K1L,22.1k 1%,0402,SMD,C163478
20,R13,1,Panasonic,ERJ2RKF2701X,2.7k 1%,0402,SMD,C413089
21,R14,1,UNI-ROYAL,0402WGF3002TCE,30k 1%,0402,SMD,C25776
22,R16,1,Panasonic,ERJ2GEJ472X,4.7k 5%,0402,SMD,C413001
23,R25 R26,2,UNI-ROYAL,0402WGF5101TCE,5.1k 1%,0402,SMD,C25905
24,SD1,1,Hirose,DM3D-SF,microSD socket,SMD,SMD,C719027
25,U1,1,Espressif,ESP32-WROVER-E-N16R8,"ESP32 module, PCB antenna, 16MB flash / 8MB PSRAM",Module,SMD,C529589
26,U2,1,Silicon Labs,CP2102N-A02-GQFN24R,USB-UART bridge,QFN-24 4x4,SMD,C969151
27,U3 U4,2,Texas Instruments,SN74LS07DR,"Hex buffer, open collector",SOIC-14,SMD,C371970
28,U5,1,TECH PUBLIC,XC6220B331MR,3.3V LDO,SOT-23-5,SMD,C3040644
