Designator,Mid X,Mid Y,Layer,Rotation
C1,31.480000,-30.500000,Top,0.000000
C2,59.530000,-58.520000,Top,-90.000000
C3,65.500000,-49.000000,Top,-90.000000
C4,56.530000,-58.520000,Top,-90.000000
C5,26.020000,-71.500000,Top,0.000000
C6,41.500000,-63.020000,Top,-90.000000
C7,36.000000,-51.500000,Top,0.000000
C8,52.000000,-63.000000,Top,-90.000000
C9,48.500000,-63.020000,Top,-90.000000
C10,45.000000,-63.000000,Top,-90.000000
C11,27.000000,-74.520000,Top,-90.000000
C12,68.000000,-59.000000,Top,-90.000000
D4,63.000000,-56.000000,Top,0.000000
D5,73.000000,-66.000000,Top,0.000000
D6,37.800000,-32.000000,Top,180.000000
D7,37.500000,-59.050000,Top,-90.000000
D8,42.000000,-58.950000,Top,90.000000
J2,80.425000,-68.000000,Top,90.000000
J_BTN1,60.000000,-73.550000,Top,0.000000
J_LED1,47.500000,-73.550000,Top,0.000000
J_PWR1,38.500000,-73.550000,Top,0.000000
J_SD1,26.500000,-34.000000,Top,-90.000000
J_SIO1,72.872500,-37.300000,Top,0.000000
Q1,31.000000,-40.500000,Top,-90.000000
Q2,46.562500,-59.000000,Top,0.000000
Q3,52.062500,-58.950000,Top,0.000000
R1,30.500000,-45.500000,Top,0.000000
R2,31.510000,-33.500000,Top,0.000000
R3,30.500000,-48.500000,Top,0.000000
R4,30.510000,-51.500000,Top,0.000000
R5,55.500000,-63.000000,Top,-90.000000
R6,31.490000,-36.500000,Top,0.000000
R7,36.020000,-48.500000,Top,0.000000
R8,62.500000,-49.000000,Top,-90.000000
R9,34.510000,-32.000000,Top,0.000000
R10,29.490000,-71.500000,Top,180.000000
R11,32.990000,-71.500000,Top,0.000000
R12,36.020000,-45.500000,Top,0.000000
R13,49.510000,-67.000000,Top,0.000000
R14,46.010000,-67.000000,Top,0.000000
R15,53.510000,-67.000000,Top,0.000000
R16,66.990000,-51.500000,Top,180.000000
R17,22.990000,-71.500000,Top,0.000000
R18,59.980000,-66.500000,Top,-90.000000
R19,56.486300,-66.500000,Top,-90.000000
R20,59.000000,-63.000000,Top,-90.000000
R21,63.500000,-62.990000,Top,90.000000
R22,41.500000,-66.500000,Top,-90.000000
R23,30.500000,-74.510000,Top,-90.000000
R24,63.000000,-51.500000,Top,180.000000
R25,69.510000,-66.500000,Top,0.000000
R26,69.490000,-70.000000,Top,180.000000
R27,26.010000,-51.500000,Top,0.000000
R28,22.490000,-51.500000,Top,0.000000
SD1,26.225000,-60.875000,Top,-90.000000
U1,50.250000,-38.255000,Top,0.000000
U2,36.562500,-37.750000,Top,0.000000
U3,65.475000,-31.690000,Top,0.000000
U4,65.475000,-42.690000,Top,0.000000
U5,65.137500,-67.500000,Top,0.000000
